# صور فقاعات الكلمات ووصّل الحروف.
# كل سطر: اسم الإيموجي بالإنجليزية | عنوان الصورة | الكلمات التي تخصّها، مفصولة بفواصل.
# الرسوم من Twemoji برخصة CC BY 4.0. الكلمات من 4 إلى 7 حروف حتى تصلح للّعبتين.

# ── سماء وطبيعة ───────────────────────────────────────────────────────────
hot pepper | الفلفل | حرارة، أحمر، توابل، صلصة، الطبخ، الحدة
broccoli | البروكلي | أخضر، خضار، الصحة، بخار، الطبخ، فيتامين
mushroom | الفطر | غابة، الطبخ، بيتزا، رطوبة، أبيض، حساء
bread | الخبز | الفرن، طحين، خميرة، رغيف، إفطار، القمح
croissant | الكرواسان | فطور، زبدة، الفرن، هلال، مقهى، عجين
cheese wedge | الجبن | حليب، ثقوب، فطور، الطعم، أصفر، شطيرة
egg | البيضة | فطور، دجاج، قشرة، صفار، الطبخ، بروتين
cut of meat | اللحم | شواء، بروتين، الطبخ، مشوي، عشاء، مطبخ
poultry leg | الدجاج | شواء، بروتين، مطبخ، وجبة، الطبخ، مقلي
hamburger | البرغر | اللحم، الخبز، وجبة، مطعم، الجبن، سريع
pizza | البيتزا | الجبن، عجين، الفرن، شرائح، مطعم، إيطاليا
french fries | البطاطس المقلية | الزيت، الملح، وجبة، مقرمش، مطعم، سريع
hot dog | النقانق | الخبز، اللحم، صلصة، وجبة، شواء، مطعم
sandwich | الشطيرة | الخبز، الجبن، وجبة، مدرسة، الحشو، سريع
taco | التاكو | مكسيك، اللحم، الخبز، صلصة، الحشو، وجبة
popcorn | الفشار | الذرة، سينما، الملح، طقطقة، وجبة، زبدة
cooked rice | الأرز | حبوب، الطبخ، وجبة، أبيض، بخار، مزرعة
pot of food | الحساء | ملعقة، الدفء، شتاء، المرق، الطبخ، الصحن
green salad | السلطة | خضار، الزيت، طماطم، خيار، الصحة، الصحن
sushi | السوشي | الأرز، السمك، يابان، أعواد، صلصة، طازج
spaghetti | المعكرونة | صلصة، إيطاليا، الغلي، شوكة، عجين، وجبة
shortcake | الكعكة | حفلة، شموع، السكر، الفرن، تزيين، العيد
cookie | البسكويت | الشاي، السكر، الفرن، مقرمش، حلوى، شوكولا
chocolate bar | الشوكولاتة | كاكاو، حلوى، هدية، السكر، ذوبان، مرارة
candy | الحلوى | السكر، أطفال، ألوان، العيد، مصاصة، اللذة
ice cream | المثلجات | الصيف، برودة، حليب، السكر، مخروط، نكهة
doughnut | الدونات | السكر، الفرن، حلقة، تزيين، قهوة، حلوى
honey pot | العسل | النحل، خلية، السكر، دواء، الشاي، ذهبي
glass of milk | الحليب | بقرة، كالسيوم، فطور، أبيض، الجبن، الكوب
hot beverage | القهوة | صباح، حبوب، فنجان، رائحة، السهر، مقهى
teacup without handle | الشاي | نعناع، الكوب، السكر، ضيافة، أوراق، مساء
tropical drink | العصير | فاكهة، برودة، الكوب، السكر، الصيف، القشة
bottle with popping cork | العصائر الغازية | فقاعات، زجاجة، حفلة، برودة، السكر، ضيافة
olive | الزيتون | الزيت، شجرة، أخضر، سلطة، مخلل، مبارك
peanuts | الفول السوداني | مقرمش، زبدة، قشرة، تسلية، الملح، بروتين
salt | الملح | طعام، أبيض، البحر، نكهة، مطبخ، الحفظ
butter | الزبدة | حليب، الخبز، فطور، الدهن، مطبخ، ذوبان
pancakes | الفطائر | العسل، فطور، عجين، مقلاة، السكر، دائري
waffle | الوافل | العسل، فطور، مربعات، عجين، حلوى، السكر
bagel | الخبز الحلقي | الفرن، حلقة، الجبن، فطور، القمح، شطيرة
canned food | المعلبات | الحفظ، تخزين، معدن، طعام، فتاحة، طوارئ
bowl with spoon | الحبوب | حليب، فطور، ملعقة، الصحن، شوفان، السكر
dumpling | الفطيرة المحشية | عجين، الحشو، بخار، الصين، وجبة، اللحم
falafel | الفلافل | الحمص، مقلي، الخبز، عربي، سلطة، وجبة
flatbread | الخبز الرقيق | تنور، عجين، رقيق، لفائف، الفرن، القمح
pretzel | البريتزل | الملح، عجين، الفرن، عقدة، مقرمش، تسلية
cupcake | الكب كيك | حفلة، تزيين، الفرن، كريمة، السكر، صغير
pie | الفطيرة | تفاح، الفرن، عجين، حلوى، شرائح، الحشو

# ── البيت والأدوات ────────────────────────────────────────────────────────
house | البيت | غرفة، السكن، الباب، أسرة، السقف، جدران
chair | الكرسي | جلوس، الخشب، طاولة، أرجل، مكتب، الظهر
bed | السرير | النوم، وسادة، غرفة، راحة، غطاء، الليل
couch and lamp | الأريكة | جلوس، صالون، ضيوف، راحة، وسائد، تلفاز
door | الباب | مفتاح، دخول، القفل، الخشب، مقبض، الطرق
window | النافذة | زجاج، الضوء، هواء، ستارة، منظر، الفتح
light bulb | المصباح | الضوء، كهرباء، اختراع، السقف، إنارة، فكرة
candle | الشمعة | شعلة، الشمع، ظلام، العيد، ذوبان، هدوء
alarm clock | المنبه | صباح، رنين، النوم، الوقت، استيقاظ، عقارب
mantelpiece clock | الساعة | الوقت، عقارب، دقائق، جدار، ميعاد، رنين
key | المفتاح | القفل، الباب، البيت، سيارة، معدن، الفتح
locked | القفل | أمان، مفتاح، الباب، حديد، إغلاق، صندوق
scissors | المقص | القص، الورق، حديد، خياطة، حادة، الشعر
hammer | المطرقة | مسمار، نجار، الضرب، حديد، بناء، أدوات
wrench | المفتاح الإنجليزي | صيانة، صامولة، ميكانيكي، حديد، الربط، أدوات
screwdriver | المفك | برغي، صيانة، أدوات، الربط، حديد، تركيب
nut and bolt | البرغي | صامولة، حديد، تثبيت، الآلة، الربط، أدوات
ladder | السلم | صعود، ارتفاع، درجات، عامل، دهان، الخشب
broom | المكنسة | تنظيف، غبار، أرضية، البيت، العصا، الكنس
bucket | الدلو | الماء، تنظيف، المسح، البئر، الحمل، الرمل
soap | الصابون | رغوة، نظافة، الماء، رائحة، يدان، حمام
toothbrush | فرشاة الأسنان | معجون، نظافة، الفم، صباح، تسوس، أسنان
roll of paper | ورق الحمام | نظافة، اللفة، حمام، البيت، الورق، المسح
sponge | الإسفنجة | تنظيف، الماء، رغوة، مطبخ، صحون، امتصاص
mirror | المرآة | انعكاس، زجاج، الوجه، غرفة، تزين، صورة
bathtub | الحوض | الماء، حمام، رغوة، استرخاء، نظافة، دافئ
shower | الدش | الماء، حمام، نظافة، صباح، رذاذ، انتعاش
toilet | المرحاض | حمام، نظافة، الماء، البيت، تدفق، خصوصية
kitchen knife | السكين | تقطيع، مطبخ، الحدة، الطبخ، خضار، مقبض
fork and knife | أدوات المائدة | طعام، مطعم، الصحن، وجبة، تقطيع، سفرة
spoon | الملعقة | حساء، السكر، طعام، معدن، الشاي، تحريك
teapot | الإبريق | الشاي، الماء، الصب، ضيافة، مقبض، الغلي
amphora | الجرة | الماء، فخار، قديم، تخزين، الزيت، الحمل
shopping cart | عربة التسوق | السوق، مشتريات، عجلات، الدفع، متجر، الحمل
shopping bags | أكياس التسوق | شراء، السوق، الحمل، هدايا، متجر، ملابس
package | الطرد | الشحن، بريد، صندوق، توصيل، الفتح، هدية
wrapped gift | الهدية | العيد، شريط، مفاجأة، تغليف، الفرح، عطاء
balloon | البالون | هواء، حفلة، ألوان، طيران، أطفال، انفجار
umbrella | المظلة | المطر، شتاء، حماية، مقبض، الفتح، الشمس
handbag | الحقيبة | نقود، الحمل، الكتف، مفاتيح، السفر، الجلد
luggage | حقيبة السفر | السفر، مطار، عجلات، ملابس، رحلة، الوزن
backpack | حقيبة الظهر | مدرسة، الكتب، الكتف، رحلة، الحمل، طالب
thread | الخيط | خياطة، إبرة، ملابس، اللفة، الربط، قماش
sewing needle | الإبرة | الخيط، خياطة، الرفو، حادة، قماش، الثقب
nail polish | طلاء الأظافر | ألوان، تجميل، يدان، لمعان، فرشاة، تجفيف
lipstick | أحمر الشفاه | تجميل، اللون، شفاه، مرآة، حقيبة، الوجه
hair pick | المشط | الشعر، تسريح، أسنان، مرآة، تنظيف، تصفيف
thermometer | ميزان الحرارة | الحمى، طبيب، درجة، قياس، المرض، زئبق
pill | الدواء | المرض، صيدلية، طبيب، شفاء، جرعة، وصفة
syringe | الحقنة | لقاح، طبيب، إبرة، دواء، وريد، علاج
adhesive bandage | اللاصق الطبي | الجرح، إسعاف، دواء، حماية، إصبع، شفاء
stethoscope | السماعة الطبية | طبيب، القلب، الفحص، عيادة، النبض، الصدر
telescope | المنظار الفلكي | نجوم، فضاء، عدسة، الرصد، الليل، كواكب
microscope | المجهر | خلايا، مختبر، عدسة، البحث، علوم، تكبير
test tube | أنبوب الاختبار | مختبر، تجربة، كيمياء، سائل، علوم، قياس
battery | البطارية | الشحن، طاقة، كهرباء، جهاز، نفاد، شحنة
electric plug | القابس | كهرباء، الشحن، مقبس، السلك، طاقة، توصيل
flashlight | الكشاف | ظلام، بطارية، الضوء، مخيم، الليل، البحث
magnet | المغناطيس | الجذب، حديد، قطبان، علوم، تثبيت، القوة
world map | الخريطة | بلدان، الطرق، السفر، البحث، جغرافيا، اتجاه
compass | البوصلة | اتجاه، شمال، السفر، البحر، إبرة، ملاحة
hourglass done | الساعة الرملية | الوقت، الرمل، انتظار، قياس، زجاج، انتهاء
balance scale | الميزان | العدل، الوزن، قياس، كفتان، قضاء، توازن
chart increasing | الرسم البياني | أرقام، ارتفاع، تقرير، النمو، بيانات، تحليل
calendar | التقويم | أيام، شهور، مواعيد، السنة، تخطيط، تاريخ
memo | المفكرة | كتابة، ملاحظات، القلم، تذكير، الورق، تنظيم
envelope | الظرف | رسالة، بريد، طابع، إغلاق، عنوان، الورق
postbox | صندوق البريد | الرسائل، البريد، الظرف، الإرسال، الطوابع، الشارع
pushpin | الدبوس | تثبيت، لوحة، الورق، ملاحظة، حادة، مكتب
paperclip | مشبك الورق | تثبيت، أوراق، معدن، مكتب، ترتيب، الملف
file folder | الملف | أوراق، ترتيب، مكتب، الحفظ، وثائق، أرشيف
books | الكتب | قراءة، مكتبة، العلم، رفوف، صفحات، تعلم
notebook | الدفتر | كتابة، مدرسة، صفحات، القلم، ملاحظات، غلاف
pencil | القلم الرصاص | كتابة، الرسم، ممحاة، مدرسة، البري، الورق
pen | القلم | الحبر، كتابة، توقيع، الورق، مكتب، رسائل
crayon | قلم التلوين | ألوان، الرسم، أطفال، الشمع، الورق، مدرسة
paintbrush | الفرشاة | ألوان، الرسم، لوحة، فنان، دهان، خطوط
artist palette | لوحة الألوان | الرسم، فنان، الخلط، ريشة، إبداع، طلاء
straight ruler | المسطرة | قياس، خطوط، مدرسة، هندسة، الطول، الرسم
abacus | المعداد | حساب، الخرز، أرقام، تعليم، قديم، العد

# ── مواصلات وأماكن ────────────────────────────────────────────────────────
automobile | السيارة | عجلات، محرك، طريق، وقود، مقود، السفر
taxi | سيارة الأجرة | أجرة، راكب، مدينة، أصفر، سائق، طريق
bus | الحافلة | ركاب، مقاعد، طريق، محطة، مدرسة، سائق
delivery truck | الشاحنة | بضائع، النقل، طريق، محرك، حمولة، سائق
tractor | الجرار | مزرعة، حراثة، حقول، عجلات، فلاح، محرك
motorcycle | الدراجة النارية | سرعة، خوذة، محرك، طريق، عجلتان، وقود
bicycle | الدراجة | عجلتان، رياضة، دواسة، توازن، طريق، هواء
kick scooter | السكوتر | عجلات، توازن، مدينة، سرعة، مقود، تنقل
locomotive | القطار | السكة، عربات، محطة، ركاب، السفر، سرعة
metro | المترو | أنفاق، مدينة، ركاب، محطة، سرعة، بطاقة
airplane | الطائرة | مطار، أجنحة، تحليق، ركاب، السفر، طيار
helicopter | المروحية | مروحة، تحليق، إنقاذ، هبوط، طيار، ارتفاع
rocket | الصاروخ | فضاء، إطلاق، وقود، رواد، سرعة، كواكب
flying saucer | الطبق الطائر | فضاء، خيال، أضواء، غرابة، تحليق، فضائي
ship | السفينة | البحر، ميناء، بضائع، ركاب، مرساة، إبحار
sailboat | المركب الشراعي | شراع، رياح، البحر، إبحار، قارب، رحلة
canoe | القارب | مجداف، النهر، الصيد، ركوب، بحيرة، تجديف
anchor | المرساة | سفينة، البحر، ثبات، حديد، ميناء، إرساء
ambulance | الإسعاف | مستشفى، مريض، سرعة، صفارة، طوارئ، إنقاذ
fire engine | سيارة الإطفاء | حريق، خرطوم، إنقاذ، السلم، صفارة، أحمر
police car | سيارة الشرطة | الأمن، صفارة، دورية، شرطي، مدينة، قانون
fuel pump | محطة الوقود | بنزين، سيارة، تعبئة، طريق، خزان، السعر
vertical traffic light | إشارة المرور | أحمر، أخضر، توقف، طريق، سيارات، نظام
construction | تحذير الطريق | الحفر، أشغال، تحويلة، الحذر، طريق، عمال
bridge at night | الجسر | النهر، عبور، أضواء، طريق، بناء، مدينة
railway track | السكة | قطار، حديد، رحلة، محطة، خطوط، السفر
school | المدرسة | تلاميذ، معلم، فصول، دراسة، الجرس، الكتب
hospital | المستشفى | طبيب، مريض، علاج، ممرضة، أسرة، طوارئ
bank | البنك | نقود، حساب، صراف، تحويل، ادخار، خزنة
hotel | الفندق | الغرف، السفر، استقبال، نزلاء، الحجز، إقامة
factory | المصنع | إنتاج، عمال، آلات، دخان، بضائع، خطوط
mosque | المسجد | صلاة، مئذنة، أذان، قبلة، جماعة، سجاد
church | الكنيسة | صلاة، أجراس، البرج، عبادة، مقاعد، شموع
castle | القلعة | أسوار، أبراج، حراسة، تاريخ، حجارة، الملك
Japanese castle | الحصن | أسوار، دفاع، تاريخ، أبراج، حماية، حجارة
tent | الخيمة | مخيم، رحلة، صحراء، حبال، مبيت، قماش
stadium | الملعب | جمهور، مباراة، أهداف، العشب، فريق، تشجيع
houses | الحي | بيوت، جيران، شوارع، السكن، مدينة، أطفال
office building | المكتب | موظفون، شركة، اجتماع، أوراق، طوابق، العمل
department store | المتجر | تسوق، بضائع، أسعار، رفوف، زبائن، الدفع
convenience store | البقالة | تسوق، الخبز، حليب، زبائن، رفوف، الحي
sheaf of rice | المزرعة | حقول، حيوانات، حصاد، فلاح، بذور، ماشية
passenger ship | الباخرة | ركاب، البحر، ميناء، رحلة، إبحار، مراسي
fountain | النافورة | الماء، حديقة، رذاذ، ميدان، برودة، جمال
tokyo tower | البرج | ارتفاع، مدينة، أضواء، منظر، معلم، سياحة
classical building | المتحف | آثار، لوحات، تاريخ، زوار، أعمدة، معرض
carousel horse | مدينة الملاهي | أطفال، دوران، الفرح، ألعاب، خيول، أضواء
ferris wheel | العجلة الدوارة | ارتفاع، دوران، منظر، ملاهي، ركوب، الفرح
roller coaster | الأفعوانية | سرعة، هبوط، صراخ، ملاهي، قضبان، إثارة
camping | المخيم | خيمة، النار، الليل، أشجار، رحلة، نجوم
beach with umbrella | الشاطئ | رمال، مظلة، البحر، الصيف، سباحة، أصداف
desert island | الجزيرة | البحر، نخيل، عزلة، رمال، قارب، أمواج
mount fuji | الجبل الثلجي | ثلوج، القمة، تسلق، ارتفاع، برودة، منظر
sunrise over mountains | الشروق | صباح، جبال، الضوء، بداية، ألوان، هدوء
sunset | الغروب | مساء، ألوان، البحر، نهاية، هدوء، الضوء
night with stars | الليل | نجوم، مدينة، ظلام، هدوء، النوم، القمر
cityscape | المدينة | أبراج، شوارع، أضواء، زحام، سكان، مبان
statue of liberty | التمثال | النحت، حجارة، تاريخ، ميدان، زوار، الرمز
kiwi fruit | الكيوي | الفاكهة، الأخضر، البذور، الحموضة، القشرة، الفيتامين

# ── ناس ومهن وجسم ─────────────────────────────────────────────────────────
health worker | الطبيب | عيادة، علاج، مريض، وصفة، سماعة، مستشفى
teacher | المعلم | مدرسة، تلاميذ، الدرس، سبورة، الشرح، تعليم
firefighter | رجل الإطفاء | حريق، خوذة، إنقاذ، خرطوم، شجاعة، دخان
police officer | الشرطي | الأمن، قانون، دورية، نظام، حماية، مركز
astronaut | رائد الفضاء | صاروخ، بدلة، كواكب، محطة، انعدام، مهمة
judge | القاضي | محكمة، العدل، الحكم، قانون، مطرقة، قضية
scientist | العالم | مختبر، تجارب، البحث، اكتشاف، مجهر، نظرية
artist | الفنان | لوحة، ألوان، ريشة، إبداع، معرض، الرسم
singer | المغني | الصوت، أغنية، حفلة، اللحن، جمهور، ميكروفون
mechanic | الميكانيكي | سيارة، صيانة، أدوات، محرك، إصلاح، ورشة
cook | الطباخ | مطبخ، وصفة، النار، مطعم، توابل، صحون
pilot | الطيار | طائرة، مطار، تحليق، قمرة، رحلة، ملاحة
student | الطالب | مدرسة، الكتب، امتحان، واجب، دراسة، زملاء
farmer | الفلاح | الحقل، بذور، حصاد، تربة، سقاية، محصول
construction worker | عامل البناء | خوذة، الطوب، أسمنت، موقع، رافعة، السلم
detective | المحقق | أدلة، قضية، البحث، غموض، عدسة، شرطة
guard | الحارس | الأمن، بوابة، حراسة، الليل، مراقبة، نظام
ninja | النينجا | تخفي، سرعة، قناع، مهارة، ظلال، قتال
factory worker | عامل المصنع | إنتاج، آلات، خطوط، مناوبة، مصنع، مهارة
office worker | الموظف | مكتب، أوراق، اجتماع، دوام، شركة، حاسوب
baby | الرضيع | حليب، بكاء، المهد، أمومة، لعبة، النوم
family | العائلة | أبوان، أبناء، البيت، محبة، الجدة، اجتماع
person with crown | الملك | التاج، القصر، العرش، الحكم، حاشية، مملكة
graduation cap | التخرج | شهادة، جامعة، طلاب، قبعة، نجاح، الحفل
eye | العين | النظر، رؤية، دموع، الجفن، البصر، ألوان
ear | الأذن | السمع، الصوت، توازن، طبلة، إنصات، ضجيج
nose | الأنف | الشم، رائحة، تنفس، الوجه، زكام، هواء
tooth | السن | أسنان، تسوس، فرشاة، ابتسامة، طبيب، المضغ
tongue | اللسان | تذوق، كلام، الفم، النطق، حلاوة، اللغة
brain | الدماغ | تفكير، ذاكرة، أعصاب، ذكاء، النوم، تعلم
anatomical heart | القلب | النبض، الدم، الصدر، حياة، شرايين، رياضة
lungs | الرئة | تنفس، هواء، أكسجين، الصدر، شهيق، زفير
bone | العظم | هيكل، الكسر، الجسم، كالسيوم، مفصل، القوة
flexed biceps | العضلة | القوة، رياضة، تمرين، ذراع، لياقة، حديد
foot | القدم | المشي، حذاء، أصابع، الركض، توازن، خطوة
clapping hands | التصفيق | الفرح، تشجيع، الحفل، الصوت، جمهور، إعجاب
handshake | المصافحة | اتفاق، سلام، تحية، صداقة، تعاون، لقاء
waving hand | التحية | لقاء، وداع، اليد، ابتسامة، صداقة، سلام
person running | الجري | رياضة، سرعة، النفس، لياقة، حذاء، سباق
person swimming | السباحة | الماء، مسبح، النفس، رياضة، الغطس، الصيف
person biking | ركوب الدراجة | عجلات، رياضة، طريق، توازن، خوذة، سرعة
person cartwheeling | الشقلبة | حركة، رشاقة، جمباز، توازن، تدريب، القفز

# ── ملابس ─────────────────────────────────────────────────────────────────
t-shirt | القميص | القطن، اللبس، الصيف، أكمام، غسيل، اللون
jeans | البنطال | قماش، جيوب، اللبس، حزام، أزرق، خياطة
